日付,暖冷房,換気,給湯,照明,家電,調理
6月12日,平日,平日,平日（中）,平日,平日,平日
6月13日,平日,平日,平日（小）,平日,平日,平日
6月14日,平日,平日,平日（大）,平日,平日,平日
6月15日,平日,平日,平日（小）,平日,平日,平日
6月16日,平日,平日,平日（中）,平日,平日,平日
6月17日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
6月18日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
6月19日,平日,平日,平日（中）,平日,平日,平日
6月20日,平日,平日,平日（小）,平日,平日,平日
6月21日,平日,平日,平日（中）,平日,平日,平日
6月22日,平日,平日,平日（中）,平日,平日,平日
6月23日,平日,平日,平日（中）,平日,平日,平日
6月24日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
6月25日,休日,休日外,休日外出,休日外,休日外,休日外
6月26日,平日,平日,平日（中）,平日,平日,平日
6月27日,平日,平日,平日（小）,平日,平日,平日
6月28日,平日,平日,平日（大）,平日,平日,平日
6月29日,平日,平日,平日（小）,平日,平日,平日
6月30日,平日,平日,平日（中）,平日,平日,平日
7月1日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
7月2日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
7月3日,平日,平日,平日（中）,平日,平日,平日
7月4日,平日,平日,平日（小）,平日,平日,平日
7月5日,平日,平日,平日（中）,平日,平日,平日
7月6日,平日,平日,平日（中）,平日,平日,平日
7月7日,平日,平日,平日（中）,平日,平日,平日
7月8日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
7月9日,休日,休日外,休日外出,休日外,休日外,休日外
7月10日,平日,平日,平日（中）,平日,平日,平日
7月11日,平日,平日,平日（小）,平日,平日,平日
7月12日,平日,平日,平日（大）,平日,平日,平日
7月13日,平日,平日,平日（小）,平日,平日,平日
7月14日,平日,平日,平日（中）,平日,平日,平日
7月15日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
7月16日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
7月17日,平日,平日,平日（中）,平日,平日,平日
7月18日,平日,平日,平日（小）,平日,平日,平日
7月19日,平日,平日,平日（中）,平日,平日,平日
7月20日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
7月21日,平日,平日,平日（中）,平日,平日,平日
7月22日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
7月23日,休日,休日外,休日外出,休日外,休日外,休日外
7月24日,平日,平日,平日（中）,平日,平日,平日
7月25日,平日,平日,平日（小）,平日,平日,平日
7月26日,平日,平日,平日（大）,平日,平日,平日
7月27日,平日,平日,平日（小）,平日,平日,平日
7月28日,平日,平日,平日（中）,平日,平日,平日
7月29日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
7月30日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
7月31日,平日,平日,平日（中）,平日,平日,平日
8月1日,平日,平日,平日（小）,平日,平日,平日
8月2日,平日,平日,平日（中）,平日,平日,平日
8月3日,平日,平日,平日（中）,平日,平日,平日
8月4日,平日,平日,平日（中）,平日,平日,平日
8月5日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
8月6日,休日,休日外,休日外出,休日外,休日外,休日外
8月7日,平日,平日,平日（中）,平日,平日,平日
8月8日,平日,平日,平日（小）,平日,平日,平日
8月9日,平日,平日,平日（大）,平日,平日,平日
8月10日,平日,平日,平日（小）,平日,平日,平日
8月11日,平日,平日,平日（中）,平日,平日,平日
8月12日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
8月13日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
8月14日,平日,平日,平日（中）,平日,平日,平日
8月15日,平日,平日,平日（小）,平日,平日,平日
8月16日,平日,平日,平日（中）,平日,平日,平日
8月17日,平日,平日,平日（中）,平日,平日,平日
8月18日,平日,平日,平日（中）,平日,平日,平日
8月19日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
8月20日,休日,休日外,休日外出,休日外,休日外,休日外
8月21日,平日,平日,平日（中）,平日,平日,平日
8月22日,平日,平日,平日（小）,平日,平日,平日
8月23日,平日,平日,平日（大）,平日,平日,平日
8月24日,平日,平日,平日（小）,平日,平日,平日
8月25日,平日,平日,平日（中）,平日,平日,平日
8月26日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
8月27日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
8月28日,平日,平日,平日（中）,平日,平日,平日
8月29日,平日,平日,平日（小）,平日,平日,平日
8月30日,平日,平日,平日（中）,平日,平日,平日
8月31日,平日,平日,平日（中）,平日,平日,平日
9月1日,平日,平日,平日（中）,平日,平日,平日
9月2日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
9月3日,休日,休日外,休日外出,休日外,休日外,休日外
9月4日,平日,平日,平日（中）,平日,平日,平日
9月5日,平日,平日,平日（小）,平日,平日,平日
9月6日,平日,平日,平日（大）,平日,平日,平日
9月7日,平日,平日,平日（小）,平日,平日,平日
9月8日,平日,平日,平日（中）,平日,平日,平日
9月9日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
9月10日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
9月11日,平日,平日,平日（中）,平日,平日,平日
9月12日,平日,平日,平日（小）,平日,平日,平日
9月13日,平日,平日,平日（中）,平日,平日,平日
9月14日,平日,平日,平日（中）,平日,平日,平日
9月15日,休日,休日外,休日外出,休日外,休日外,休日外
9月16日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
9月17日,休日,休日外,休日外出,休日外,休日外,休日外
9月18日,平日,平日,平日（中）,平日,平日,平日
9月19日,平日,平日,平日（小）,平日,平日,平日
9月20日,平日,平日,平日（大）,平日,平日,平日
9月21日,平日,平日,平日（小）,平日,平日,平日
9月22日,平日,平日,平日（中）,平日,平日,平日
9月23日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
9月24日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
9月25日,平日,平日,平日（中）,平日,平日,平日
9月26日,平日,平日,平日（小）,平日,平日,平日
9月27日,平日,平日,平日（中）,平日,平日,平日
9月28日,平日,平日,平日（中）,平日,平日,平日
9月29日,平日,平日,平日（中）,平日,平日,平日
9月30日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
10月1日,休日,休日外,休日外出,休日外,休日外,休日外
10月2日,平日,平日,平日（中）,平日,平日,平日
10月3日,平日,平日,平日（小）,平日,平日,平日
10月4日,平日,平日,平日（大）,平日,平日,平日
10月5日,平日,平日,平日（小）,平日,平日,平日
10月6日,平日,平日,平日（中）,平日,平日,平日
10月7日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
10月8日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
10月9日,平日,平日,平日（中）,平日,平日,平日
10月10日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
10月11日,平日,平日,平日（中）,平日,平日,平日
10月12日,平日,平日,平日（中）,平日,平日,平日
