áTaçfì‡ (124-A4),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
-9.1,0,0,0,0,,,
-8.4,0.01,0.02,0,-60.5,,,
-7.8,0.08,0.12,9,-49.8,,,
-7.3,0.07,0.22,16.7,-37.8,,,
-6.9,0.06,0.3,22.3,-24.2,,,
-6.3,0.04,0.31,25.5,-9.3,,,
-5.8,0.13,0.46,25.8,6.2,,,
-5.5,0.64,0.57,23.2,21.3,,,
-5.7,0.09,0.28,18,35.2,,,
-5,0.07,0.13,10.7,47.5,,,
-5.5,0.04,0.03,1.9,58.5,,,
-6.6,0,0,0,0,,,
-5.6,0,0,0,0,,,
-3.9,0,0,0,0,,,
-4.1,0,0,0,0,,,
-4.8,0,0,0,0,,,
-5.1,0,0,0,0,,,
-5.6,0,0,0,0,,,
-5.9,0,0,0,0,,,
-5.8,0,0,0,0,,,
-6.6,0,0,0,0,,,
-8.7,0,0,0,0,,,
-10,0,0,0,0,,,
-12.9,0,0,0,0,,,
-9.1,0,0,0,0,,,
-8.8,0.04,0.03,0.1,-60.7,,,
-8.1,2.06,0.17,9.1,-50,,,
-6.1,2.83,0.23,16.8,-37.9,,,
-5.4,3.32,0.23,22.5,-24.4,,,
-5.3,3.48,0.23,25.7,-9.4,,,
-5.2,3.47,0.24,26,6.2,,,
-5.6,3.34,0.23,23.4,21.3,,,
-6.2,2.97,0.23,18.2,35.2,,,
-6.7,2.21,0.19,10.9,47.6,,,
-7.7,0.53,0.07,2.1,58.5,,,
-8.8,0,0,0,0,,,
-9.3,0,0,0,0,,,
-8.6,0,0,0,0,,,
-8.8,0,0,0,0,,,
-10.1,0,0,0,0,,,
-10.5,0,0,0,0,,,
-12.4,0,0,0,0,,,
-14.9,0,0,0,0,,,
-14.5,0,0,0,0,,,
-14.2,0,0,0,0,,,
-8.6,0,0,0,0,,,
-9,0,0,0,0,,,
-8.6,0,0,0,0,,,
-8.8,0,0,0,0,,,
-8.6,0.04,0.03,0.2,-60.9,,,
-8.1,1.73,0.19,9.2,-50.2,,,
-6.7,2.87,0.22,16.9,-38.1,,,
-5.2,3.28,0.23,22.6,-24.5,,,
-5,3.45,0.24,25.9,-9.5,,,
-4.6,3.47,0.24,26.2,6.1,,,
-4.7,3.34,0.23,23.6,21.3,,,
-4.6,2.97,0.23,18.4,35.2,,,
-5.3,2.2,0.2,11.1,47.6,,,
-6,0.74,0.07,2.3,58.6,,,
-9.3,0,0,0,0,,,
-8.6,0,0,0,0,,,
-7.1,0,0,0,0,,,
-9.3,0,0,0,0,,,
-14.2,0,0,0,0,,,
-14,0,0,0,0,,,
-14.7,0,0,0,0,,,
-16.5,0,0,0,0,,,
-17.2,0,0,0,0,,,
-17.9,0,0,0,0,,,
-19.2,0,0,0,0,,,
-20.3,0,0,0,0,,,
-20.4,0,0,0,0,,,
-21.6,0,0,0,0,,,
-21.6,0.04,0.03,0.3,-61.1,,,
-20.7,2.21,0.17,9.4,-50.4,,,
-15.9,3.08,0.2,17.1,-38.3,,,
-11,3.47,0.21,22.8,-24.6,,,
-4.9,3.65,0.2,26.1,-9.6,,,
-3.6,3.69,0.2,26.4,6,,,
-3.2,3.53,0.21,23.8,21.3,,,
-3.5,3.22,0.2,18.6,35.2,,,
-3.9,2.38,0.19,11.3,47.7,,,
-5.3,0.95,0.07,2.5,58.7,,,
-10.2,0,0,0,0,,,
-13.5,0,0,0,0,,,
-15.4,0,0,0,0,,,
-16.7,0,0,0,0,,,
-17.4,0,0,0,0,,,
-19.1,0,0,0,0,,,
-20.3,0,0,0,0,,,
-20.7,0,0,0,0,,,
-21.7,0,0,0,0,,,
-22.1,0,0,0,0,,,
-23.1,0,0,0,0,,,
-23.6,0,0,0,0,,,
-24,0,0,0,0,,,
-24.3,0,0,0,0,,,
-24.8,0.04,0.03,0.4,-61.3,,,
-22.9,2.24,0.17,9.5,-50.5,,,
-19.1,3.16,0.19,17.2,-38.5,,,
-13.8,3.63,0.18,23,-24.8,,,
-9.5,3.77,0.18,26.3,-9.8,,,
-6.2,3.77,0.18,26.6,6,,,
-4.6,3.65,0.19,24,21.2,,,
-4.5,3.31,0.19,18.8,35.3,,,
-4.6,2.53,0.18,11.5,47.7,,,
